Store,Date,Year,product_category,product_type,period,amount
19,2018-01-06T00:00:00Z,2018,48-1948,XXRP,Q3,0
19,2018-01-06T00:00:00Z,2018,48-1948,XXRP,Q4,0
26,2018-01-06T00:00:00Z,2018,4-264,XYYF,Q1,24639.6
26,2018-01-06T00:00:00Z,2018,4-264,XYYF,Q2,23040.93
26,2018-01-06T00:00:00Z,2018,4-264,XYYF,Q3,22375.12
26,2018-01-06T00:00:00Z,2018,4-264,XYYF,Q4,20547.32
27,2018-01-06T00:00:00Z,2018,41-2741,XXRP,Q1,823
27,2018-01-06T00:00:00Z,2018,41-2741,XXRP,Q2,1029.24
27,2018-01-06T00:00:00Z,2018,41-2741,XXRP,Q3,912
27,2018-01-06T00:00:00Z,2018,41-2741,XXRP,Q4,762
30,2018-01-06T00:00:00Z,2018,1-301,XYYF,Q1,10158.77
30,2018-01-06T00:00:00Z,2018,1-301,XYYF,Q2,14346.05
30,2018-01-06T00:00:00Z,2018,1-301,XYYF,Q3,12321.18
30,2018-01-06T00:00:00Z,2018,1-301,XYYF,Q4,10099.28
8,2018-01-07T00:00:00Z,2018,31-831,XXRP,Q1,2136.18
8,2018-01-07T00:00:00Z,2018,31-831,XXRP,Q2,1625
8,2018-01-07T00:00:00Z,2018,31-831,XXRP,Q3,1353
8,2018-01-07T00:00:00Z,2018,31-831,XXRP,Q4,1205
18,2018-01-07T00:00:00Z,2018,3-183,XYYF,Q1,16150.95
18,2018-01-07T00:00:00Z,2018,3-183,XYYF,Q2,14339.76
18,2018-01-07T00:00:00Z,2018,3-183,XYYF,Q3,12824.25
18,2018-01-07T00:00:00Z,2018,3-183,XYYF,Q4,14382.83
30,2018-01-07T00:00:00Z,2018,19-3019,XYYF,Q1,0
30,2018-01-07T00:00:00Z,2018,19-3019,XYYF,Q2,0
30,2018-01-07T00:00:00Z,2018,19-3019,XYYF,Q3,0
30,2018-01-07T00:00:00Z,2018,19-3019,XYYF,Q4,0
5,2018-01-08T00:00:00Z,2018,46-546,XXRP,Q1,4515.46
5,2018-01-08T00:00:00Z,2018,46-546,XXRP,Q2,4738.98
5,2018-01-08T00:00:00Z,2018,46-546,XXRP,Q3,4780.1
5,2018-01-08T00:00:00Z,2018,46-546,XXRP,Q4,3915.01
16,2018-01-08T00:00:00Z,2018,8-168,XYYF,Q1,16238.07
16,2018-01-08T00:00:00Z,2018,8-168,XYYF,Q2,16421.22
16,2018-01-08T00:00:00Z,2018,8-168,XYYF,Q3,16433.65
16,2018-01-08T00:00:00Z,2018,8-168,XYYF,Q4,15840.66
18,2018-01-08T00:00:00Z,2018,26-1826,XXRP,Q1,13386.53
18,2018-01-08T00:00:00Z,2018,26-1826,XXRP,Q2,11275.13
18,2018-01-08T00:00:00Z,2018,26-1826,XXRP,Q3,11253.15
18,2018-01-08T00:00:00Z,2018,26-1826,XXRP,Q4,10816.52
7,2018-01-09T00:00:00Z,2018,45-745,XXRP,Q1,2
7,2018-01-09T00:00:00Z,2018,45-745,XXRP,Q2,23.78
7,2018-01-09T00:00:00Z,2018,45-745,XXRP,Q3,21.54
7,2018-01-09T00:00:00Z,2018,45-745,XXRP,Q4,14.54
21,2018-01-09T00:00:00Z,2018,45-2145,XXRP,Q1,0
21,2018-01-09T00:00:00Z,2018,45-2145,XXRP,Q2,0
21,2018-01-09T00:00:00Z,2018,45-2145,XXRP,Q3,0
21,2018-01-09T00:00:00Z,2018,45-2145,XXRP,Q4,0
24,2018-01-09T00:00:00Z,2018,5-245,XYYF,Q1,34825.51
24,2018-01-09T00:00:00Z,2018,5-245,XYYF,Q2,37203.4
24,2018-01-09T00:00:00Z,2018,5-245,XYYF,Q3,41680.07
24,2018-01-09T00:00:00Z,2018,5-245,XYYF,Q4,28318.9
25,2018-01-09T00:00:00Z,2018,35-2535,XXRP,Q1,900.5
25,2018-01-09T00:00:00Z,2018,35-2535,XXRP,Q2,627
25,2018-01-09T00:00:00Z,2018,35-2535,XXRP,Q3,1091.5
25,2018-01-09T00:00:00Z,2018,35-2535,XXRP,Q4,1394.87
31,2018-01-09T00:00:00Z,2018,25-3125,XYYF,Q1,7837.5
31,2018-01-09T00:00:00Z,2018,25-3125,XYYF,Q2,11723.25
31,2018-01-09T00:00:00Z,2018,25-3125,XYYF,Q3,10538.5
31,2018-01-09T00:00:00Z,2018,25-3125,XYYF,Q4,8422.25
16,2018-01-10T00:00:00Z,2018,38-1638,XXRP,Q1,57776.81
16,2018-01-10T00:00:00Z,2018,38-1638,XXRP,Q2,43115.55
16,2018-01-10T00:00:00Z,2018,38-1638,XXRP,Q3,49663.5
16,2018-01-10T00:00:00Z,2018,38-1638,XXRP,Q4,48213.68
29,2018-01-10T00:00:00Z,2018,35-2935,XXRP,Q1,2131
29,2018-01-10T00:00:00Z,2018,35-2935,XXRP,Q2,1702.04
29,2018-01-10T00:00:00Z,2018,35-2935,XXRP,Q3,2126
29,2018-01-10T00:00:00Z,2018,35-2935,XXRP,Q4,1527
10,2018-01-11T00:00:00Z,2018,5-105,XYYF,Q1,75297.91
10,2018-01-11T00:00:00Z,2018,5-105,XYYF,Q2,74064.19
10,2018-01-11T00:00:00Z,2018,5-105,XYYF,Q3,59974.12
10,2018-01-11T00:00:00Z,2018,5-105,XYYF,Q4,56750.43
8,2018-01-12T00:00:00Z,2018,48-898,XXRP,Q1,6343.12
8,2018-01-12T00:00:00Z,2018,48-898,XXRP,Q2,9944.22
8,2018-01-12T00:00:00Z,2018,48-898,XXRP,Q3,6108.72
8,2018-01-12T00:00:00Z,2018,48-898,XXRP,Q4,4988.5
39,2018-01-13T00:00:00Z,2018,18-3918,XYYF,Q1,4888.5
39,2018-01-13T00:00:00Z,2018,18-3918,XYYF,Q2,17643.25
39,2018-01-13T00:00:00Z,2018,18-3918,XYYF,Q3,9627.02
39,2018-01-13T00:00:00Z,2018,18-3918,XYYF,Q4,969.9
8,2018-01-14T00:00:00Z,2018,4-84,XYYF,Q1,21759.76
8,2018-01-14T00:00:00Z,2018,4-84,XYYF,Q2,19921.07
8,2018-01-14T00:00:00Z,2018,4-84,XYYF,Q3,20303.28
8,2018-01-14T00:00:00Z,2018,4-84,XYYF,Q4,18821.94
14,2018-01-15T00:00:00Z,2018,13-1413,XYYF,Q1,74119.96
14,2018-01-15T00:00:00Z,2018,13-1413,XYYF,Q2,42314.45
14,2018-01-15T00:00:00Z,2018,13-1413,XYYF,Q3,62113.01
14,2018-01-15T00:00:00Z,2018,13-1413,XYYF,Q4,62067.92
30,2018-01-15T00:00:00Z,2018,25-3025,XYYF,Q1,30.25
30,2018-01-15T00:00:00Z,2018,25-3025,XYYF,Q2,36.5
30,2018-01-15T00:00:00Z,2018,25-3025,XYYF,Q3,39
30,2018-01-15T00:00:00Z,2018,25-3025,XYYF,Q4,52.5
25,2018-01-16T00:00:00Z,2018,43-2593,XXRP,Q1,812.15
25,2018-01-16T00:00:00Z,2018,43-2593,XXRP,Q2,709.62
25,2018-01-16T00:00:00Z,2018,43-2593,XXRP,Q3,765.04
25,2018-01-16T00:00:00Z,2018,43-2593,XXRP,Q4,885.83
33,2018-01-16T00:00:00Z,2018,33-3333,XXRP,Q1,0
33,2018-01-16T00:00:00Z,2018,33-3333,XXRP,Q2,0
33,2018-01-16T00:00:00Z,2018,33-3333,XXRP,Q3,0
33,2018-01-16T00:00:00Z,2018,33-3333,XXRP,Q4,0
22,2018-01-18T00:00:00Z,2018,10-2210,XYYF,Q1,17305.14
22,2018-01-18T00:00:00Z,2018,10-2210,XYYF,Q2,16301.99
22,2018-01-18T00:00:00Z,2018,10-2210,XYYF,Q3,17835.16
22,2018-01-18T00:00:00Z,2018,10-2210,XYYF,Q4,19023.17
7,2018-01-20T00:00:00Z,2018,16-716,XYYF,Q1,2774.48
7,2018-01-20T00:00:00Z,2018,16-716,XYYF,Q2,4071.71
7,2018-01-20T00:00:00Z,2018,16-716,XYYF,Q3,3733.69
7,2018-01-20T00:00:00Z,2018,16-716,XYYF,Q4,5187.64
15,2018-01-21T00:00:00Z,2018,14-1514,XYYF,Q1,13723.46
15,2018-01-21T00:00:00Z,2018,14-1514,XYYF,Q2,15164.8
15,2018-01-21T00:00:00Z,2018,14-1514,XYYF,Q3,15013.34
15,2018-01-21T00:00:00Z,2018,14-1514,XYYF,Q4,13866.94
19,2018-01-21T00:00:00Z,2018,50-1950,XXRP,Q1,1099
19,2018-01-21T00:00:00Z,2018,50-1950,XXRP,Q2,1195
19,2018-01-21T00:00:00Z,2018,50-1950,XXRP,Q3,1247
19,2018-01-21T00:00:00Z,2018,50-1950,XXRP,Q4,779
30,2018-01-21T00:00:00Z,2018,11-3011,XYYF,Q1,1255.03
30,2018-01-21T00:00:00Z,2018,11-3011,XYYF,Q2,1009.76
30,2018-01-21T00:00:00Z,2018,11-3011,XYYF,Q3,656.03
30,2018-01-21T00:00:00Z,2018,11-3011,XYYF,Q4,790.88
9,2018-01-22T00:00:00Z,2018,6-96,XYYF,Q1,2314.75
9,2018-01-22T00:00:00Z,2018,6-96,XYYF,Q2,4794.88
9,2018-01-22T00:00:00Z,2018,6-96,XYYF,Q3,2778.76
9,2018-01-22T00:00:00Z,2018,6-96,XYYF,Q4,3469
11,2018-01-22T00:00:00Z,2018,50-1150,XXRP,Q1,0
11,2018-01-22T00:00:00Z,2018,50-1150,XXRP,Q2,0
11,2018-01-22T00:00:00Z,2018,50-1150,XXRP,Q3,0
11,2018-01-22T00:00:00Z,2018,50-1150,XXRP,Q4,0
26,2018-01-23T00:00:00Z,2018,40-2640,XXRP,Q1,39952.95
26,2018-01-23T00:00:00Z,2018,40-2640,XXRP,Q2,38027.19
26,2018-01-23T00:00:00Z,2018,40-2640,XXRP,Q3,38743.39
26,2018-01-23T00:00:00Z,2018,40-2640,XXRP,Q4,35015.57
11,2018-01-25T00:00:00Z,2018,47-1147,XXRP,Q1,0
11,2018-01-25T00:00:00Z,2018,47-1147,XXRP,Q2,74
11,2018-01-25T00:00:00Z,2018,47-1147,XXRP,Q3,0
11,2018-01-25T00:00:00Z,2018,47-1147,XXRP,Q4,0
19,2018-01-26T00:00:00Z,2018,14-1914,XYYF,Q1,17590.59
19,2018-01-26T00:00:00Z,2018,14-1914,XYYF,Q2,18722.59
19,2018-01-26T00:00:00Z,2018,14-1914,XYYF,Q3,18039.39
19,2018-01-26T00:00:00Z,2018,14-1914,XYYF,Q4,17262
12,2018-01-28T00:00:00Z,2018,45-1245,XXRP,Q1,11.96
12,2018-01-28T00:00:00Z,2018,45-1245,XXRP,Q2,35.8
12,2018-01-28T00:00:00Z,2018,45-1245,XXRP,Q3,18.97
12,2018-01-28T00:00:00Z,2018,45-1245,XXRP,Q4,47.41
21,2018-01-28T00:00:00Z,2018,46-2146,XXRP,Q1,18080.31
21,2018-01-28T00:00:00Z,2018,46-2146,XXRP,Q2,17426.1
21,2018-01-28T00:00:00Z,2018,46-2146,XXRP,Q3,20863.62
21,2018-01-28T00:00:00Z,2018,46-2146,XXRP,Q4,16428.28
10,2018-01-29T00:00:00Z,2018,22-1022,XYYF,Q1,35551.72
10,2018-01-29T00:00:00Z,2018,22-1022,XYYF,Q2,36259.23
10,2018-01-29T00:00:00Z,2018,22-1022,XYYF,Q3,32871.46
10,2018-01-29T00:00:00Z,2018,22-1022,XYYF,Q4,31567.7
22,2018-01-29T00:00:00Z,2018,7-227,XYYF,Q1,18882.15
22,2018-01-29T00:00:00Z,2018,7-227,XYYF,Q2,20392.01
22,2018-01-29T00:00:00Z,2018,7-227,XYYF,Q3,21501.16
22,2018-01-29T00:00:00Z,2018,7-227,XYYF,Q4,17701.96
22,2018-01-30T00:00:00Z,2018,14-2214,XYYF,Q1,20553.97
22,2018-01-30T00:00:00Z,2018,14-2214,XYYF,Q2,20283.91
22,2018-01-30T00:00:00Z,2018,14-2214,XYYF,Q3,20113.78
22,2018-01-30T00:00:00Z,2018,14-2214,XYYF,Q4,16665.69
28,2018-01-31T00:00:00Z,2018,32-2832,XXRP,Q1,13194.17
28,2018-01-31T00:00:00Z,2018,32-2832,XXRP,Q2,20038.59
28,2018-01-31T00:00:00Z,2018,32-2832,XXRP,Q3,21880.42
28,2018-01-31T00:00:00Z,2018,32-2832,XXRP,Q4,11301.21
19,2018-02-01T00:00:00Z,2018,19-1919,XYYF,Q1,0
19,2018-02-01T00:00:00Z,2018,19-1919,XYYF,Q2,0
19,2018-02-01T00:00:00Z,2018,19-1919,XYYF,Q3,-9.38
19,2018-02-01T00:00:00Z,2018,19-1919,XYYF,Q4,0
35,2018-02-01T00:00:00Z,2018,47-3547,XXRP,Q1,0
35,2018-02-01T00:00:00Z,2018,47-3547,XXRP,Q2,0
35,2018-02-01T00:00:00Z,2018,47-3547,XXRP,Q3,0
35,2018-02-01T00:00:00Z,2018,47-3547,XXRP,Q4,0
1,2018-02-02T00:00:00Z,2018,45-145,XXRP,Q1,37.44
1,2018-02-02T00:00:00Z,2018,45-145,XXRP,Q2,34.47
1,2018-02-02T00:00:00Z,2018,45-145,XXRP,Q3,22.94
1,2018-02-02T00:00:00Z,2018,45-145,XXRP,Q4,45.41
10,2018-02-03T00:00:00Z,2018,42-1042,XXRP,Q1,11380.98
10,2018-02-03T00:00:00Z,2018,42-1042,XXRP,Q2,11489.67
10,2018-02-03T00:00:00Z,2018,42-1042,XXRP,Q3,12553.63
10,2018-02-03T00:00:00Z,2018,42-1042,XXRP,Q4,11361.94
23,2018-02-03T00:00:00Z,2018,5-235,XYYF,Q1,45586.61
23,2018-02-03T00:00:00Z,2018,5-235,XYYF,Q2,40140.12
23,2018-02-03T00:00:00Z,2018,5-235,XYYF,Q3,42646.85
23,2018-02-03T00:00:00Z,2018,5-235,XYYF,Q4,37240.47
29,2018-02-03T00:00:00Z,2018,43-2943,XXRP,Q1,0
29,2018-02-03T00:00:00Z,2018,43-2943,XXRP,Q2,0
29,2018-02-03T00:00:00Z,2018,43-2943,XXRP,Q3,0
29,2018-02-03T00:00:00Z,2018,43-2943,XXRP,Q4,0
35,2018-02-04T00:00:00Z,2018,30-3530,XXRP,Q1,7445.84
35,2018-02-04T00:00:00Z,2018,30-3530,XXRP,Q2,6708.5
35,2018-02-04T00:00:00Z,2018,30-3530,XXRP,Q3,8792.9
35,2018-02-04T00:00:00Z,2018,30-3530,XXRP,Q4,6697
6,2018-02-05T00:00:00Z,2018,14-614,XYYF,Q1,28269.16
6,2018-02-05T00:00:00Z,2018,14-614,XYYF,Q2,24756
6,2018-02-05T00:00:00Z,2018,14-614,XYYF,Q3,23989.81
6,2018-02-05T00:00:00Z,2018,14-614,XYYF,Q4,22353.53
25,2018-02-05T00:00:00Z,2018,21-2521,XYYF,Q1,5426.1
25,2018-02-05T00:00:00Z,2018,21-2521,XYYF,Q2,4747.33
25,2018-02-05T00:00:00Z,2018,21-2521,XYYF,Q3,5315.99
25,2018-02-05T00:00:00Z,2018,21-2521,XYYF,Q4,5018.76
33,2018-02-05T00:00:00Z,2018,24-3324,XYYF,Q1,0
33,2018-02-05T00:00:00Z,2018,24-3324,XYYF,Q2,0
33,2018-02-05T00:00:00Z,2018,24-3324,XYYF,Q3,0
33,2018-02-05T00:00:00Z,2018,24-3324,XYYF,Q4,0
17,2018-02-06T00:00:00Z,2018,28-1728,XXRP,Q1,1891.66
17,2018-02-06T00:00:00Z,2018,28-1728,XXRP,Q2,1840.77
17,2018-02-06T00:00:00Z,2018,28-1728,XXRP,Q3,1788.8
17,2018-02-06T00:00:00Z,2018,28-1728,XXRP,Q4,1856.94
22,2018-02-07T00:00:00Z,2018,22-2222,XYYF,Q1,15886.79
22,2018-02-07T00:00:00Z,2018,22-2222,XYYF,Q2,14436.21
22,2018-02-07T00:00:00Z,2018,22-2222,XYYF,Q3,15980.89
22,2018-02-07T00:00:00Z,2018,22-2222,XYYF,Q4,14208.96
27,2018-02-07T00:00:00Z,2018,49-2749,XXRP,Q1,11567.2
27,2018-02-07T00:00:00Z,2018,49-2749,XXRP,Q2,11936.16
27,2018-02-07T00:00:00Z,2018,49-2749,XXRP,Q3,13650.8
27,2018-02-07T00:00:00Z,2018,49-2749,XXRP,Q4,9831.21
13,2018-02-08T00:00:00Z,2018,21-1321,XYYF,Q1,8295.62
13,2018-02-08T00:00:00Z,2018,21-1321,XYYF,Q2,9053.68
13,2018-02-08T00:00:00Z,2018,21-1321,XYYF,Q3,8879.13
13,2018-02-08T00:00:00Z,2018,21-1321,XYYF,Q4,9241.77
37,2018-02-08T00:00:00Z,2018,41-3741,XXRP,Q1,0
37,2018-02-08T00:00:00Z,2018,41-3741,XXRP,Q2,0
37,2018-02-08T00:00:00Z,2018,41-3741,XXRP,Q3,0
37,2018-02-08T00:00:00Z,2018,41-3741,XXRP,Q4,0
3,2018-02-11T00:00:00Z,2018,23-323,XYYF,Q1,10280.8
3,2018-02-11T00:00:00Z,2018,23-323,XYYF,Q2,8957.69
3,2018-02-11T00:00:00Z,2018,23-323,XYYF,Q3,9342.67
3,2018-02-11T00:00:00Z,2018,23-323,XYYF,Q4,8134.79
5,2018-02-11T00:00:00Z,2018,2-52,XYYF,Q1,11955.45
5,2018-02-11T00:00:00Z,2018,2-52,XYYF,Q2,11794.51
5,2018-02-11T00:00:00Z,2018,2-52,XYYF,Q3,11707.09
5,2018-02-11T00:00:00Z,2018,2-52,XYYF,Q4,11452.33
7,2018-02-11T00:00:00Z,2018,4-74,XYYF,Q1,13418.73
7,2018-02-11T00:00:00Z,2018,4-74,XYYF,Q2,12917.37
7,2018-02-11T00:00:00Z,2018,4-74,XYYF,Q3,12230.31
7,2018-02-11T00:00:00Z,2018,4-74,XYYF,Q4,12838.59
16,2018-02-13T00:00:00Z,2018,48-1648,XXRP,Q1,0
16,2018-02-13T00:00:00Z,2018,48-1648,XXRP,Q2,0
16,2018-02-13T00:00:00Z,2018,48-1648,XXRP,Q3,0
16,2018-02-13T00:00:00Z,2018,48-1648,XXRP,Q4,0
23,2018-02-13T00:00:00Z,2018,45-2345,XXRP,Q1,6.5
23,2018-02-13T00:00:00Z,2018,45-2345,XXRP,Q2,86.87
23,2018-02-13T00:00:00Z,2018,45-2345,XXRP,Q3,24.94
23,2018-02-13T00:00:00Z,2018,45-2345,XXRP,Q4,62.82
8,2018-02-14T00:00:00Z,2018,26-826,XXRP,Q1,8507.05
8,2018-02-14T00:00:00Z,2018,26-826,XXRP,Q2,7811.36
8,2018-02-14T00:00:00Z,2018,26-826,XXRP,Q3,9530.26
8,2018-02-14T00:00:00Z,2018,26-826,XXRP,Q4,7071.5
23,2018-02-14T00:00:00Z,2018,44-2344,XXRP,Q1,10543.74
23,2018-02-14T00:00:00Z,2018,44-2344,XXRP,Q2,11044.23
23,2018-02-14T00:00:00Z,2018,44-2344,XXRP,Q3,8048.84
23,2018-02-14T00:00:00Z,2018,44-2344,XXRP,Q4,9471.44
34,2018-02-15T00:00:00Z,2018,35-3435,XXRP,Q1,2632
34,2018-02-15T00:00:00Z,2018,35-3435,XXRP,Q2,2214
34,2018-02-15T00:00:00Z,2018,35-3435,XXRP,Q3,1971
34,2018-02-15T00:00:00Z,2018,35-3435,XXRP,Q4,1891
15,2018-02-17T00:00:00Z,2018,40-1540,XXRP,Q1,34262.56
15,2018-02-17T00:00:00Z,2018,40-1540,XXRP,Q2,35032.49
15,2018-02-17T00:00:00Z,2018,40-1540,XXRP,Q3,31419.47
15,2018-02-17T00:00:00Z,2018,40-1540,XXRP,Q4,30502.88
27,2018-02-17T00:00:00Z,2018,22-2722,XYYF,Q1,18710.72
27,2018-02-17T00:00:00Z,2018,22-2722,XYYF,Q2,16771.05
27,2018-02-17T00:00:00Z,2018,22-2722,XYYF,Q3,22222.56
27,2018-02-17T00:00:00Z,2018,22-2722,XYYF,Q4,14421.73
20,2018-02-19T00:00:00Z,2018,28-2028,XXRP,Q1,1058.36
20,2018-02-19T00:00:00Z,2018,28-2028,XXRP,Q2,607.88
20,2018-02-19T00:00:00Z,2018,28-2028,XXRP,Q3,990.85
20,2018-02-19T00:00:00Z,2018,28-2028,XXRP,Q4,970.98
5,2018-02-21T00:00:00Z,2018,49-549,XXRP,Q1,0
5,2018-02-21T00:00:00Z,2018,49-549,XXRP,Q2,0
5,2018-02-21T00:00:00Z,2018,49-549,XXRP,Q3,0
5,2018-02-21T00:00:00Z,2018,49-549,XXRP,Q4,0
18,2018-02-22T00:00:00Z,2018,20-1820,XYYF,Q1,11255.49
18,2018-02-22T00:00:00Z,2018,20-1820,XYYF,Q2,10104.73
18,2018-02-22T00:00:00Z,2018,20-1820,XYYF,Q3,10618.6
18,2018-02-22T00:00:00Z,2018,20-1820,XYYF,Q4,10322.27
8,2018-02-23T00:00:00Z,2018,41-841,XXRP,Q1,431
8,2018-02-23T00:00:00Z,2018,41-841,XXRP,Q2,648
8,2018-02-23T00:00:00Z,2018,41-841,XXRP,Q3,342
8,2018-02-23T00:00:00Z,2018,41-841,XXRP,Q4,367
29,2018-02-24T00:00:00Z,2018,2-292,XYYF,Q1,23816.58
29,2018-02-24T00:00:00Z,2018,2-292,XYYF,Q2,21863.19
29,2018-02-24T00:00:00Z,2018,2-292,XYYF,Q3,23054.17
29,2018-02-24T00:00:00Z,2018,2-292,XYYF,Q4,21133.87
37,2018-02-24T00:00:00Z,2018,3-373,XYYF,Q1,1434.29
37,2018-02-24T00:00:00Z,2018,3-373,XYYF,Q2,1398.08
37,2018-02-24T00:00:00Z,2018,3-373,XYYF,Q3,1536.39
37,2018-02-24T00:00:00Z,2018,3-373,XYYF,Q4,1296.56
2,2018-02-25T00:00:00Z,2018,33-233,XXRP,Q1,8896.08
2,2018-02-25T00:00:00Z,2018,33-233,XXRP,Q2,8911.34
2,2018-02-25T00:00:00Z,2018,33-233,XXRP,Q3,7981.41
2,2018-02-25T00:00:00Z,2018,33-233,XXRP,Q4,7558.56
36,2018-02-26T00:00:00Z,2018,20-3620,XYYF,Q1,0
36,2018-02-26T00:00:00Z,2018,20-3620,XYYF,Q2,0
36,2018-02-26T00:00:00Z,2018,20-3620,XYYF,Q3,2.5
36,2018-02-26T00:00:00Z,2018,20-3620,XYYF,Q4,86.75
5,2018-02-27T00:00:00Z,2018,28-528,XXRP,Q1,313.4
5,2018-02-27T00:00:00Z,2018,28-528,XXRP,Q2,254.37
5,2018-02-27T00:00:00Z,2018,28-528,XXRP,Q3,314.71
5,2018-02-27T00:00:00Z,2018,28-528,XXRP,Q4,282.1
13,2018-02-27T00:00:00Z,2018,25-1325,XYYF,Q1,9751.48
13,2018-02-27T00:00:00Z,2018,25-1325,XYYF,Q2,12778
13,2018-02-27T00:00:00Z,2018,25-1325,XYYF,Q3,11286.5
13,2018-02-27T00:00:00Z,2018,25-1325,XYYF,Q4,12222.25
6,2018-03-01T00:00:00Z,2018,22-622,XYYF,Q1,23716.37
6,2018-03-01T00:00:00Z,2018,22-622,XYYF,Q2,20293.52
6,2018-03-01T00:00:00Z,2018,22-622,XYYF,Q3,16816.34
6,2018-03-01T00:00:00Z,2018,22-622,XYYF,Q4,19881.85
33,2018-03-01T00:00:00Z,2018,13-3313,XYYF,Q1,6780.45
33,2018-03-01T00:00:00Z,2018,13-3313,XYYF,Q2,6708.13
33,2018-03-01T00:00:00Z,2018,13-3313,XYYF,Q3,7032.38
33,2018-03-01T00:00:00Z,2018,13-3313,XYYF,Q4,7156.44
8,2018-03-02T00:00:00Z,2018,47-847,XXRP,Q1,0
8,2018-03-02T00:00:00Z,2018,47-847,XXRP,Q2,100
8,2018-03-02T00:00:00Z,2018,47-847,XXRP,Q3,0
8,2018-03-02T00:00:00Z,2018,47-847,XXRP,Q4,0
19,2018-03-02T00:00:00Z,2018,37-1937,XXRP,Q1,2717.11
19,2018-03-02T00:00:00Z,2018,37-1937,XXRP,Q2,2562.65
19,2018-03-02T00:00:00Z,2018,37-1937,XXRP,Q3,3066.72
19,2018-03-02T00:00:00Z,2018,37-1937,XXRP,Q4,3107.95
21,2018-03-02T00:00:00Z,2018,13-2113,XYYF,Q1,30634.52
21,2018-03-02T00:00:00Z,2018,13-2113,XYYF,Q2,27586.33
21,2018-03-02T00:00:00Z,2018,13-2113,XYYF,Q3,30587.41
21,2018-03-02T00:00:00Z,2018,13-2113,XYYF,Q4,31691.18
24,2018-03-03T00:00:00Z,2018,50-2450,XXRP,Q1,2030
24,2018-03-03T00:00:00Z,2018,50-2450,XXRP,Q2,1535
24,2018-03-03T00:00:00Z,2018,50-2450,XXRP,Q3,1570
24,2018-03-03T00:00:00Z,2018,50-2450,XXRP,Q4,1350
7,2018-03-04T00:00:00Z,2018,42-742,XXRP,Q1,5417.14
7,2018-03-04T00:00:00Z,2018,42-742,XXRP,Q2,5361.92
7,2018-03-04T00:00:00Z,2018,42-742,XXRP,Q3,3619.35
7,2018-03-04T00:00:00Z,2018,42-742,XXRP,Q4,4411.8
4,2018-03-05T00:00:00Z,2018,42-442,XXRP,Q1,9960.26
